landscape_id,landscape_name,actual_class,predicted_class,confidence,bare,dense,gaps,labyrinth,spots
1,mander,gaps,gaps,0.9534632563591003,1.1160259999129507e-12,0.01612921431660652,0.9534632563591003,0.03035842627286911,4.9088732339441776e-5
2,mander,labyrinth,labyrinth,0.9999963045120239,1.139946625983157e-8,4.680621166277331e-37,2.8815297370421433e-11,0.9999963045120239,3.715036200446775e-6
3,mander,spots,labyrinth,0.9999998807907104,5.194902996663586e-8,1.4369375775313285e-31,1.5507380102253165e-10,0.9999998807907104,8.754124536380914e-8
4,meron,gaps,gaps,0.9997712969779968,8.51358778397246e-14,5.177213102669498e-10,0.9997712969779968,2.000571257667616e-4,2.864944326574914e-5
5,meron,labyrinth,gaps,0.9999743700027466,1.9097041253829323e-20,1.3448800805982096e-36,0.9999743700027466,1.762832107488066e-5,7.965084478200879e-6
6,meron,spots,labyrinth,0.9953691363334656,2.6903157479551965e-9,6.301157115818736e-23,5.711354788218159e-6,0.9953691363334656,0.004625171422958374
